CLAYTON 1 1,76,359,"NORTHEAST 1 1,COLUMBUS 1 1"
NORTHEAST 1 1,72,350,"CLAYTON 1 1,HOUSTON 1 1"
CAMP POINT 1 1,69,331,"CAMP POINT 2 1,HOUSTON 1 1"
CAMP POINT 2 1,47,376,"KEENE 1 1,HOUSTON 1 1,COLUMBUS 1 1, CAMP POINT 1 1"
COLUMBUS 1 1,35,284,"CLAYTON 1 1,CAMP POINT 2 1,BURTON 1 1,LIBERTY 1 1"
PAYSON 1 1,109,412,"MELROSE 1 1,BURTON 1 1"
MELROSE 5 1,82,312,"MELROSE 6 1,MELROSE 1 1,MELROSE 4 1"
MELROSE 6 1,123,384,"MELROSE 1 1,BURTON 1 1"
HOUSTON 1 1,16,112,"KEENE 1 1,CLAYTON 1 1,CAMP POINT 2 1"
KEENE 1 1,57,250,"HONEY CREEK 1 1,LIMA 1 1,HOUSTON 1 1"
HONEY CREEK 1 1,67,322,"KEENE 1 1,HOUSTON 1 1,GILMER 1 1"
MENDON 1 1,38,293,"HONEY CREEK 1 1,KEENE 1 1,ELLINGTON 1 1"
LIMA 1 1,44,221,"URSA 1 1,KEENE 1 1"
LIBERTY 1 1,102,602,"GILMER 1 1,BEVERLY 1 1,MCKEE 1 1,COLUMBUS 1 1"
URSA 1 1,89,463,"LIMA 1 1
ELLINGTON 1 1,91,460,"URSA 1 1,ELLINGTON 3 1"
ELLINGTON 2 1,118,450,"ELLINGTON 1 1,MELROSE 6 1,BURTON 1 1"
ELLINGTON 3 1,96,353,"ELLINGTON 2 1"
MCKEE 1 1,13,92,"BEVERLY 1 1,LIBERTY 1 1,COLUMBUS 1 1"
MELROSE 3 1,111,403,MELROSE 2 1,MELROSE 4 1"
BEVERLY 1 1,18,150,"RICHFIELD 1 1,LIBERTY 1 1"
GILMER 1 1,74,512,"MENDON 1 1,ELLINGTON 2 1,MELROSE 6 1,LIBERTY 1 1"
BURTON 1 1,60,455,"MELROSE 6 1,MELROSE 1 1,PAYSON 2 1,RICHFIELD 1 1,COLUMBUS 1 1"
RICHFIELD 1 1,24,190,"BURTON 1 1,MCKEE 1 1"
PAYSON 2 1,42,233,"BURTON 1 1,LIBERTY 1 1"
MELROSE 2 1,150,524,"MELROSE 1 1,MELROSE 4 1"
MELROSE 1 1,89,394,"MELROSE 6 1,MELROSE 3 1,PAYSON 1 1"
MELROSE 4 1,76,319,"MELROSE 5 1,MELROSE 2 1"